,0-9 años,10 – 19 años,20 – 29 años,30 – 39 años,40 – 49 años,50 – 59 años,60 – 69 años,70 – 79 años,80 – 89 años,90-99 años,100 y más años,Total
03/15/20,0,0,0,0,0,0,0,0,0,0,0,0
03/16/20,0,0,0,0,0,0,0,1,0,0,0,1
03/17/20,0,0,0,0,0,0,0,0,0,0,0,0
03/18/20,0,0,0,0,0,0,1,0,0,0,0,1
03/19/20,0,0,0,0,0,0,1,0,0,0,0,1
03/20/20,0,0,0,0,0,0,1,0,0,1,0,2
03/21/20,0,0,0,0,0,0,0,0,2,0,0,2
03/22/20,0,0,0,0,0,0,0,1,0,0,0,1
03/23/20,0,0,0,0,0,0,0,1,0,0,0,1
03/24/20,0,0,0,0,0,1,0,1,0,0,0,2
03/25/20,0,0,0,0,0,0,0,0,1,0,0,1
03/26/20,0,0,0,0,0,0,0,1,1,0,0,2
03/27/20,0,0,0,0,0,0,1,1,1,0,0,3
03/28/20,0,0,0,0,0,0,0,3,2,0,0,5
03/29/20,0,0,0,0,1,0,2,0,1,1,0,5
03/30/20,0,0,0,0,1,0,1,2,2,1,0,7
03/31/20,0,0,0,0,0,0,2,2,3,0,0,7
04/01/20,0,0,0,0,0,1,1,1,3,0,0,6
04/02/20,0,0,0,0,0,0,2,3,2,3,0,10
04/03/20,0,0,0,2,0,1,3,2,3,0,0,11
04/04/20,0,0,0,0,0,1,2,2,7,2,0,14
04/05/20,0,0,0,0,1,2,0,2,3,1,0,9
04/06/20,0,0,0,0,0,1,3,4,6,0,1,15
04/07/20,0,0,1,0,0,0,2,5,6,0,1,15
04/08/20,0,0,0,0,0,1,1,6,6,2,0,16
04/09/20,0,0,0,0,1,0,2,2,4,2,0,11
04/10/20,0,0,0,0,1,0,3,2,3,2,0,11
04/11/20,0,0,0,0,0,5,2,5,2,0,0,14
04/12/20,0,0,0,0,0,1,0,3,2,1,0,7
04/13/20,0,0,0,0,0,1,2,3,5,2,0,13
04/14/20,0,0,0,0,0,2,5,3,3,1,0,14
04/15/20,0,0,0,0,0,3,2,3,7,2,0,17
04/16/20,0,0,0,1,0,2,2,4,2,0,0,11
04/17/20,0,0,0,0,0,0,1,3,4,0,0,8
04/18/20,0,0,0,0,1,2,1,4,3,4,0,15
04/19/20,0,0,0,0,1,4,1,4,6,5,0,21
04/20/20,0,0,1,0,0,1,4,4,4,0,0,14
04/21/20,0,0,0,0,2,1,7,5,4,0,0,19
04/22/20,0,0,0,0,1,0,2,1,4,3,1,12
04/23/20,0,0,0,0,1,1,3,5,2,3,0,15
04/24/20,0,0,0,0,2,1,4,5,3,0,0,15
04/25/20,0,0,0,0,0,0,3,7,4,4,0,18
04/26/20,0,0,1,0,1,4,2,8,3,1,0,20
04/27/20,0,0,0,1,1,2,3,5,9,3,0,24
04/28/20,0,0,0,1,0,2,3,4,6,6,0,22
04/29/20,0,0,0,0,2,1,1,5,6,1,0,16
04/30/20,0,0,1,1,1,2,1,7,2,4,0,19
05/01/20,0,0,0,0,1,1,3,4,11,2,0,22
05/02/20,0,0,0,0,2,1,1,6,9,0,0,19
05/03/20,0,0,0,1,2,4,4,5,10,4,1,31
05/04/20,0,0,0,0,1,2,3,3,6,4,0,19
05/05/20,0,0,0,0,0,1,4,5,6,4,0,20
05/06/20,0,0,0,0,0,1,6,7,12,4,0,30
05/07/20,0,1,1,0,2,4,8,11,8,4,0,39
05/08/20,1,0,0,1,2,1,7,9,10,3,0,34
05/09/20,0,0,1,1,5,3,8,11,11,8,1,49
05/10/20,0,0,0,1,2,6,13,10,12,4,0,48
05/11/20,0,0,0,2,6,6,6,11,8,1,1,41
05/12/20,1,0,0,1,3,4,6,13,10,4,0,42
05/13/20,0,0,0,3,2,6,8,15,19,6,0,59
05/14/20,0,0,0,0,3,7,17,22,16,4,0,69
05/15/20,0,1,0,1,4,7,7,16,12,5,0,53
05/16/20,0,0,1,0,1,8,16,21,22,10,2,81
05/17/20,0,0,0,4,5,10,17,20,21,5,0,82
05/18/20,1,0,0,2,3,9,10,36,27,8,0,96
05/19/20,0,0,1,1,4,11,17,24,22,10,0,90
05/20/20,0,0,1,0,4,7,27,22,36,7,0,104
05/21/20,0,0,1,2,3,12,22,44,22,7,0,113
05/22/20,0,1,0,1,6,8,25,31,29,8,2,111
05/23/20,2,0,3,3,7,13,22,40,40,13,0,143
05/24/20,0,0,3,4,6,17,37,41,30,17,2,157
05/25/20,1,0,2,4,3,14,20,44,36,16,1,141
05/26/20,0,0,1,8,7,16,33,42,42,19,0,168
05/27/20,0,0,0,3,10,24,36,50,52,16,0,191
05/28/20,0,0,0,3,4,17,28,50,47,19,1,169
05/29/20,1,0,2,3,5,24,29,66,48,15,0,193
